INCIDENT_DATETIME,INCIDENT_RESPONSE_SECONDS_QY,DISPATCH_RESPONSE_SECONDS_QY,TRAVEL_TIME_SECONDS_QY,ENGINES_ASSIGNED_QUANTITY,LADDERS_ASSIGNED_QUANTITY,INCIDENT_CLASSIFICATION_GROUP,PROPERTY_USE_DESCRIPTION,BOROUGH,ZIPCODE,CITY_COUNCIL_DIST,LATITUDE,LONGITUDE,YEAR,MONTH,DAY_OF_WEEK,HOUR
2022-02-12 06:31:00,807,234,309,6,3,MAJOR FIRE,Commercial - Mercantile,BRONX,10001,46,40.717209,-74.071857,2022,2,Tue,6
2020-10-12 10:52:00,628,156,174,1,4,APPLIANCE FIRE,Storage,BROOKLYN,10452,29,40.708212,-73.743913,2020,10,Wed,10
2017-06-15 04:58:00,569,132,272,1,1,ELECTRICAL FIRE,Assembly,QUEENS,11205,50,40.895935,-74.095593,2017,6,Mon,4
2023-09-15 15:36:00,671,178,285,3,2,STRUCTURAL FIRE,Residential - Multifamily,QUEENS,10451,36,40.562285,-74.114169,2023,9,Sun,15
2019-11-22 20:26:00,1550,436,841,2,0,MAJOR FIRE,Healthcare,BROOKLYN,10452,1,40.502336,-74.047762,2019,11,Thu,20
2017-04-02 20:40:00,715,143,403,5,1,ELECTRICAL FIRE,Commercial - Mercantile,BROOKLYN,10031,47,40.861103,-73.844918,2017,4,Thu,20
2022-04-23 21:31:00,653,99,530,1,1,CAR FIRE,Residential - Multifamily,BRONX,10302,14,40.895702,-73.771863,2022,4,Sat,21
2017-11-23 14:07:00,960,408,281,1,2,CAR FIRE,Residential - Single Family,BROOKLYN,11205,33,40.519674,-73.800212,2017,11,Thu,14
2015-06-24 19:52:00,361,159,174,2,2,UNUSUAL INCIDENT,Transportation,BRONX,10452,17,40.501547,-73.719526,2015,6,Mon,19
2024-04-26 01:01:00,906,128,482,1,0,ELECTRICAL FIRE,Educational,BROOKLYN,10451,37,40.578405,-74.094485,2024,4,Tue,1
2021-10-01 01:13:00,555,171,337,3,0,MAJOR FIRE,Industrial,QUEENS,10031,11,40.595589,-74.258925,2021,10,Mon,1
2020-11-26 03:52:00,825,162,487,5,1,CAR FIRE,Commercial - Office,BRONX,10031,34,40.512682,-73.713161,2020,11,Sat,3
2016-06-01 21:19:00,1082,551,418,1,2,UTILITY EMERGENCY,Industrial,BROOKLYN,10302,36,40.584839,-74.106759,2016,6,Mon,21
2016-04-22 11:55:00,575,317,256,1,1,OUTSIDE FIRE,Storage,BROOKLYN,10451,37,40.780834,-73.721935,2016,4,Tue,11
2020-07-03 23:52:00,923,252,501,3,0,NONSTRUCTURAL FIRE,Commercial - Office,BRONX,11205,27,40.597292,-74.001281,2020,7,Thu,23
2016-11-14 10:17:00,534,159,367,3,1,NONSTRUCTURAL FIRE,Commercial - Office,QUEENS,10302,51,40.627226,-74.214266,2016,11,Thu,10
2018-10-14 18:49:00,969,400,548,2,2,STRUCTURAL FIRE,Residential - Single Family,BRONX,10451,35,40.903047,-73.927474,2018,10,Sat,18
2016-03-15 17:42:00,1190,260,871,4,1,MAJOR FIRE,Assembly,QUEENS,10031,23,40.850042,-73.712127,2016,3,Wed,17
2015-07-15 13:06:00,809,459,220,2,1,NONSTRUCTURAL FIRE,Healthcare,MANHATTAN,11205,23,40.539897,-73.932374,2015,7,Sun,13
2019-08-18 05:47:00,600,181,361,2,1,CAR FIRE,Commercial - Mercantile,QUEENS,10451,29,40.798101,-73.712174,2019,8,Sat,5
2019-09-02 10:45:00,663,153,326,1,0,NONSTRUCTURAL FIRE,Industrial,BROOKLYN,10002,51,40.750174,-74.257466,2019,9,Thu,10
2016-08-08 01:17:00,830,331,304,3,3,UTILITY EMERGENCY,Transportation,BRONX,11205,25,40.710463,-73.957463,2016,8,Thu,1
2018-07-05 09:23:00,791,226,358,4,0,APPLIANCE FIRE,Commercial - Mercantile,MANHATTAN,11205,22,40.807382,-74.120408,2018,7,Fri,9
2022-07-15 11:24:00,1133,742,186,2,0,CAR FIRE,Healthcare,MANHATTAN,10451,10,40.506156,-74.252779,2022,7,Tue,11
2021-03-02 03:49:00,553,157,274,2,2,CAR FIRE,Commercial - Office,BRONX,11205,13,40.858495,-73.856199,2021,3,Tue,3
2019-06-02 17:33:00,1000,379,369,2,1,APPLIANCE FIRE,Transportation,MANHATTAN,11201,21,40.629553,-73.787545,2019,6,Sun,17
