COLLISION_ID,CRASH_DATE,CRASH_TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_MOTORIST_INJURED,CONTRIBUTING_FACTOR_VEHICLE_1,CONTRIBUTING_FACTOR_VEHICLE_2,VEHICLE_TYPE_CODE_1,VEHICLE_TYPE_CODE_2,YEAR,MONTH,DAY_OF_WEEK,HOUR,IS_WEEKEND
4000000,12/12/2019,22:11,QUEENS,10841,40.615794,-73.762374,1,0,1,0,0,Pavement Slippery,Driver Inattention,Taxi,Pick-up Truck,2019,12,Mon,22,1
4000001,10/10/2016,15:28,BROOKLYN,11451,40.661405,-73.76619,2,0,0,0,2,Pavement Slippery,Unsafe Speed,Station Wagon/SUV,Taxi,2016,10,Thu,15,1
4000002,10/17/2024,03:37,BRONX,11527,40.620187,-74.124662,0,0,0,0,0,Backing Unsafely,Alcohol Involvement,Station Wagon/SUV,Motorcycle,2024,10,Thu,3,0
4000003,01/28/2022,03:34,MANHATTAN,10752,40.588297,-74.144079,2,0,0,0,2,Driver Inattention,Traffic Control Disregarded,Sedan,E-Bike,2022,1,Thu,3,1
4000004,05/09/2022,23:31,BROOKLYN,10058,40.737279,-74.000556,0,0,0,0,0,Unsafe Lane Changing,Failure to Yield,Sedan,Bus,2022,5,Wed,23,0
4000005,06/22/2024,10:48,MANHATTAN,10873,40.904029,-74.145253,4,0,1,0,3,Passing Too Closely,Unsafe Lane Changing,Sedan,Bus,2024,6,Mon,10,0
4000006,04/23/2015,06:08,QUEENS,11601,40.511629,-74.188924,1,0,1,0,0,Alcohol Involvement,Driver Inattention,Sedan,Bike,2015,4,Sat,6,0
4000007,09/22/2023,15:02,QUEENS,10815,40.605233,-74.162982,0,0,0,0,0,Passing Too Closely,Failure to Yield,Pick-up Truck,Bike,2023,9,Sun,15,0
4000008,06/20/2022,17:09,BRONX,10493,40.905676,-74.023571,3,0,2,0,1,Passing Too Closely,Following Too Closely,Sedan,Ambulance,2022,6,Mon,17,1
4000009,03/10/2015,10:43,BROOKLYN,10751,40.624948,-74.005278,0,0,0,0,0,Alcohol Involvement,Unsafe Lane Changing,Sedan,Taxi,2015,3,Mon,10,1
